,Cassava Bacterial Blight (CBB),Cassava Brown Streak Disease (CBSD),Cassava Green Mottle (CGM),Cassava Mosaic Disease (CMD),Healthy
Cassava Bacterial Blight (CBB),47.465437788018434,9.67741935483871,1.8433179723502304,6.912442396313365,34.10138248847927
Cassava Brown Streak Disease (CBSD),4.5662100456621,66.66666666666666,1.82648401826484,11.187214611872145,15.753424657534246
Cassava Green Mottle (CGM),0.8385744234800839,3.1446540880503147,60.58700209643606,22.0125786163522,13.417190775681343
Cassava Mosaic Disease (CMD),0.303951367781155,0.8738601823708206,0.7218844984802432,96.69452887537993,1.405775075987842
Healthy,5.232558139534884,3.488372093023256,2.7131782945736433,10.65891472868217,77.90697674418605
