,precision,recall,f1-score,support
Cassava Bacterial Blight (CBB),0.6358024691358025,0.47465437788018433,0.5435356200527705,217.0
Cassava Brown Streak Disease (CBSD),0.7913279132791328,0.6666666666666666,0.7236679058240396,438.0
Cassava Green Mottle (CGM),0.8652694610778443,0.6058700209643606,0.7127003699136868,477.0
Cassava Mosaic Disease (CMD),0.9191043698085951,0.9669452887537994,0.942418070727643,2632.0
Healthy,0.6222910216718266,0.7790697674418605,0.6919104991394148,516.0
