,Cassava Bacterial Blight (CBB),Cassava Brown Streak Disease (CBSD),Cassava Green Mottle (CGM),Cassava Mosaic Disease (CMD),Healthy
Cassava Bacterial Blight (CBB),125,12,4,11,65
Cassava Brown Streak Disease (CBSD),14,315,16,29,64
Cassava Green Mottle (CGM),7,6,342,78,44
Cassava Mosaic Disease (CMD),3,21,22,2563,23
Healthy,35,12,26,34,409
