,precision,recall,f1-score,support
Cassava Bacterial Blight (CBB),0.6793478260869565,0.576036866359447,0.6234413965087282,217.0
Cassava Brown Streak Disease (CBSD),0.860655737704918,0.7191780821917808,0.7835820895522388,438.0
Cassava Green Mottle (CGM),0.8341463414634146,0.7169811320754716,0.7711386696730552,477.0
Cassava Mosaic Disease (CMD),0.9440147329650093,0.9737841945288754,0.9586684121937535,2632.0
Healthy,0.6760330578512397,0.7926356589147286,0.7297056199821588,516.0
accuracy,0.8771028037383177,0.8771028037383177,0.8771028037383177,0.8771028037383177
macro avg,0.7988395392143076,0.7557231868140607,0.7733072375819869,4280.0
weighted avg,0.8775124605768263,0.8771028037383177,0.8752505244170736,4280.0
