,Cassava Bacterial Blight (CBB),Cassava Brown Streak Disease (CBSD),Cassava Green Mottle (CGM),Cassava Mosaic Disease (CMD),Healthy
Cassava Bacterial Blight (CBB),57.6036866359447,5.529953917050691,1.8433179723502304,5.0691244239631335,29.953917050691242
Cassava Brown Streak Disease (CBSD),3.1963470319634704,71.91780821917808,3.65296803652968,6.621004566210045,14.61187214611872
Cassava Green Mottle (CGM),1.4675052410901468,1.257861635220126,71.69811320754717,16.352201257861633,9.224318658280922
Cassava Mosaic Disease (CMD),0.11398176291793312,0.7978723404255319,0.8358662613981762,97.37841945288754,0.8738601823708206
Healthy,6.782945736434108,2.3255813953488373,5.038759689922481,6.5891472868217065,79.26356589147287
